modelo,auc,cor
glm.background.ponderado,0.678691178170887,0.312251246564459
rf.pseudoausencia,0.669651115735923,0.345012777110154
svm.pseudoausencia,0.654902300844028,0.284280888427878
ensamblado,0.645110706440051,0.288913411765921
gam.background.ponderado,0.425049138628743,-0.0141078611171358
