basis_of_record	specific_epithet	species_id	country_code	latitude	longitude	year	coordinate_precision
UNKNOWN	Ursus arctos	2433433	NO	64,62688	12,56926	2009	100
UNKNOWN	Ursus arctos	2433433	NO	64,66167	12,55567	2009	100
PRESERVED_SPECIMEN	Ursus arctos	2433433	US	68,22861	-152,70417	1960	
PRESERVED_SPECIMEN	Ursus arctos	2433433	US	60,4875	-149,7975	2010	
PRESERVED_SPECIMEN	Ursus arctos	2433433	US	60,54278	-151,10056	2009	
PRESERVED_SPECIMEN	Ursus arctos	2433433	US	67,484	-148,575	1994	
PRESERVED_SPECIMEN	Ursus arctos	2433433	US	60,47	-154,6	1964	
OBSERVATION	Ursus arctos Linnaeus, 1758	2433433	ES	42,66	-5,01	2007	7071
OBSERVATION	Ursus arctos Linnaeus, 1758	2433433	ES	42,83	-6,37	2007	7071
OBSERVATION	Ursus arctos Linnaeus, 1758	2433433	CZ	49,367	16,65	2000	
OBSERVATION	Ursus arctos Linnaeus, 1758	2433433	PL	50,233	16,9	2000	
PRESERVED_SPECIMEN	Ursus arctos	2433433	US	59,2	-135,46667	1998	
PRESERVED_SPECIMEN	Ursus arctos	2433433	US	56,1843	-160,0147	1970	
PRESERVED_SPECIMEN	Ursus arctos	2433433	US	57,85	-155,51667	1973	
PRESERVED_SPECIMEN	Ursus arctos	2433433	US	55,2037	-162,8313	1965	
PRESERVED_SPECIMEN	Ursus arctos	2433433	US	57,53333	-153,98333	1998	
PRESERVED_SPECIMEN	Ursus arctos	2433433	US	56,38333	-134,64167	1972	
PRESERVED_SPECIMEN	Ursus arctos	2433433	US	62	-151	1971	
PRESERVED_SPECIMEN	Ursus arctos	2433433	US	58,35	-151,98333	1965	
PRESERVED_SPECIMEN	Ursus arctos	2433433	US	70,321	-148,033	2001	
PRESERVED_SPECIMEN	Ursus arctos	2433433	CA	60,27917	-132,55139	1919	
OBSERVATION	Ursus arctos Linnaeus, 1758	2433433	GB	54,18565	-2,84291	1844	1414
OBSERVATION	Ursus arctos	2433433	EE	59,6643	25,49138	1986	
OBSERVATION	Ursus arctos	2433433	EE	59,40293	27,44049	1986	
OBSERVATION	Ursus arctos	2433433	EE	58,77365	26,39474	1986	
UNKNOWN	Ursus arctos	2433433	NO	63,10806	10,95267	2009	100
UNKNOWN	Ursus arctos	2433433	NO	64,90682	13,20718	2010	100
UNKNOWN	Ursus arctos	2433433	NO	61,1671	10,90905	2010	100
UNKNOWN	Ursus arctos	2433433	NO	69,78682	29,68705	2010	100
UNKNOWN	Ursus arctos	2433433	NO	60,70174	9,28209	2010	100
UNKNOWN	Ursus arctos	2433433	NO	61,24835	10,35343	2010	100
UNKNOWN	Ursus arctos	2433433	NO	61,189	11,07886	2010	100
UNKNOWN	Ursus arctos	2433433	NO	62,95801	11,11599	2010	100
UNKNOWN	Ursus arctos	2433433	NO	69,75499	29,59386	2011	100
UNKNOWN	Ursus arctos	2433433	NO	61,96911	12,16867	2011	100
UNKNOWN	Ursus arctos	2433433	NO	59,42709	7,88449	2011	100
UNKNOWN	Ursus arctos	2433433	NO	59,46881	7,74007	2011	100
UNKNOWN	Ursus arctos	2433433	NO	65,63845	13,98435	2011	100
UNKNOWN	Ursus arctos	2433433	NO	62,12343	8,78628	2011	100
UNKNOWN	Ursus arctos	2433433	NO	63,34194	11,82335	2000	100
UNKNOWN	Ursus arctos	2433433	NO	62,38369	11,43674	2002	100
UNKNOWN	Ursus arctos	2433433	NO	61,78526	12,08721	2002	100
UNKNOWN	Ursus arctos	2433433	NO	60,43784	12,22141	2002	100
UNKNOWN	Ursus arctos	2433433	NO	69,72664	29,51984	2002	100
UNKNOWN	Ursus arctos	2433433	NO	60,04967	12,17686	2002	100
UNKNOWN	Ursus arctos	2433433	NO	61,72053	12,12741	2002	100
UNKNOWN	Ursus arctos	2433433	NO	60,49856	12,20346	2002	100
UNKNOWN	Ursus arctos	2433433	NO	61,22876	10,80102	2002	100
UNKNOWN	Ursus arctos	2433433	NO	64,16683	13,75149	2003	100
UNKNOWN	Ursus arctos	2433433	NO	62,1877	10,22665	2003	50
UNKNOWN	Ursus arctos	2433433	NO	64,1724	13,96198	2003	100
UNKNOWN	Ursus arctos	2433433	NO	61,38129	10,94083	2003	100
UNKNOWN	Ursus arctos	2433433	NO	61,43717	12,06722	2003	100
UNKNOWN	Ursus arctos	2433433	NO	63,31871	11,81708	2003	100
UNKNOWN	Ursus arctos	2433433	NO	69,25029	19,99083	2003	50
UNKNOWN	Ursus arctos	2433433	NO	62,55999	9,13204	2004	50
UNKNOWN	Ursus arctos	2433433	NO	61,69097	11,95307	2004	100
UNKNOWN	Ursus arctos	2433433	NO	62,26558	10,95511	2004	100
UNKNOWN	Ursus arctos	2433433	NO	61,04059	10,96441	2004	100
UNKNOWN	Ursus arctos	2433433	NO	63,05365	11,21751	2004	100
