Species,Lon,Lat
Ursus arctos,27.59154,57.96524
Ursus arctos,9.01468,60.78284
Ursus arctos,8.50275,59.65708
Ursus arctos,7.98619,59.43646
Ursus arctos,10.45908,62.79426
Ursus arctos,24.98608,59.20849
Ursus arctos,10.72967,61.69213
Ursus arctos,11.88333,60.94143
Ursus arctos,27.96639,59.31038
Ursus arctos,10.90986,62.0983
Ursus arctos,24.48144,58.93016
Ursus arctos,12.01094,62.00372
Ursus arctos,9.13309,62.56082
Ursus arctos,11.81507,63.03224
Ursus arctos,12.38154,64.40278
Ursus arctos,14.973,48.8388
Ursus arctos,10.2295,61.85554
Ursus arctos,9.22417,48.8048
Ursus arctos,26.21573,59.04213
Ursus arctos,9.13114,60.51702
Ursus arctos,23.8962,59.28169
Ursus arctos,0.26,42.55
Ursus arctos,9.77417,48.4038
Ursus arctos,16.7,49.267
Ursus arctos,25.54175,58.49732
Ursus arctos,-5.63,42.74
Ursus arctos,-6.1,43.27
Ursus arctos,11.9497,60.40002
Ursus arctos,14.15386,64.19305
Ursus arctos,10.724,60.84182
Ursus arctos,26.2302,58.41344
Ursus arctos,12.1929,63.63314
Ursus arctos,10.23532,60.91263
Ursus arctos,-3.92,42.94
Ursus arctos,24.82815,58.93644
Ursus arctos,24.46783,59.10959
Ursus arctos,25.66404,69.34136
Ursus arctos,11.57365,62.31249
Ursus arctos,26.73993,58.86463
Ursus arctos,29.30878,62.64032
Ursus arctos,9.08815,60.113
Ursus arctos,8.18767,59.63999
Ursus arctos,-6.86,42.93
Ursus arctos,27.4236,58.05573
Ursus arctos,4.0945,51.0383
Ursus arctos,0.74,42.84
Ursus arctos,-5.64,43.1
Ursus arctos,-4.77,42.57
Ursus arctos,17.383,49.433
Ursus arctos,-5.03,43.2
Ursus arctos,11.31272,63.1802
Ursus arctos,17.82072,68.64139
Ursus arctos,25.50713,59.30536
Ursus arctos,25.3826,58.22591
Ursus arctos,22.82469,58.94181
Ursus arctos,13.891,44.8762
Ursus arctos,11.68418,61.81777
Ursus arctos,6.46616,61.4487
Ursus arctos,27.08383,57.60742
Ursus arctos,27.26437,59.4034
Ursus arctos,26.91308,58.95467
Ursus arctos,28.523,44.4242
Ursus arctos,9.26249,60.99268
Ursus arctos,13.39424,65.63975
Ursus arctos,11.43478,61.73799
Ursus arctos,7.8557,61.04366
Ursus arctos,25.6827,59.30725
Ursus arctos,36.55002,40.3167
Ursus arctos,13.17118,66.17502
Ursus arctos,13.32448,65.87862
Ursus arctos,20.587,44.29
Ursus arctos,27.08661,58.77499
Ursus arctos,-7.22,43.02
Ursus arctos,22.257,44.59
Ursus arctos,10.50855,64.18232
Ursus arctos,0.87,42.48
Ursus arctos,-6.96,43.38
Ursus arctos,26.91433,58.50556
Ursus arctos,-6.52,42.2
Ursus arctos,-5.88,43
Ursus arctos,25.34034,59.12369
Ursus arctos,11.21537,61.28619
Ursus arctos,10.08116,62.06865
Ursus arctos,21.725,44.657
Ursus arctos,-6.61,42.83
Ursus arctos,22.6511,58.94418
Ursus arctos,-7.46,43.39
Ursus arctos,8.36165,59.41191
Ursus arctos,15.99933,66.98258
Ursus arctos,12.25083,61.07719
Ursus arctos,25.69982,58.85833
Ursus arctos,28.60129,70.20652
Ursus arctos,10.13703,62.53772
Ursus arctos,-7.34,43.21
Ursus arctos,24.44779,59.37873
Ursus arctos,14.28365,66.08796
Ursus arctos,1.24,42.39
Ursus arctos,25.33159,59.30322
Ursus arctos,7.1667,50.717
Ursus arctos,26.40267,58.32452
Ursus arctos,11.31022,61.54512
Ursus arctos,-5.26,42.75
Ursus arctos,25.7326,57.96036
Ursus arctos,-6.35,43.28
Ursus arctos,10.42089,60.68732
Ursus arctos,19.63574,48.59723
Ursus arctos,19.29164,69.5202
Ursus arctos,11.98211,63.63347
Ursus arctos,11.65099,61.56511
Ursus arctos,22.47729,58.94624
Ursus arctos,11.06355,60.62777
Ursus arctos,24.08389,68.96563
Ursus arctos,16.59886,67.96313
Ursus arctos,9.78833,62.68083
Ursus arctos,24.30107,59.01654
Ursus arctos,1.72,42.49
Ursus arctos,-0.86,42.75
Ursus arctos,7.83195,58.79666
Ursus arctos,14.9133,67.06715
Ursus arctos,24.71373,58.03626
Ursus arctos,19.767,50.2192
Ursus arctos,26.0264,59.57967
Ursus arctos,27.75865,57.87452
Ursus arctos,10.6,50.85
Ursus arctos,0.18333,51.45
Ursus arctos,-7.11,42.75
Ursus arctos,0.03333,52.117
Ursus arctos,22.30356,58.94811
Ursus arctos,15.8707,45.839
Ursus arctos,8.65476,60.61001
Ursus arctos,19.6892,43.6187
